duration_min,finished,moa1#1_1,moa1#1_2,moa1#1_3,moa1#1_4,moa1#1_5,moa1#1_6,moa1#1_7,moa1#1_8,moa1#1_9,moa1#1_10,moa1#2_1,moa1#2_2,moa1#2_3,moa1#2_4,moa1#2_5,moa1#2_6,moa1#2_7,moa1#2_8,moa1#2_9,moa1#2_10,moa2#1_1,moa2#1_2,moa2#1_3,moa2#1_4,moa2#1_5,moa2#1_6,moa2#1_7,moa2#1_8,moa2#1_9,moa2#1_10,moa2#2_1,moa2#2_2,moa2#2_3,moa2#2_4,moa2#2_5,moa2#2_6,moa2#2_7,moa2#2_8,moa2#2_9,moa2#2_10,moa_adult,moa_imp_biascheck,moa_ach_biascheck,moa_imp_dummy,moa-ach_dummy,moa_duration,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,idea-biascheck,idea-bias-dummy,idea_duration,demo_politics,demo_party,swb_1,swb_2,swb_3,swb_4,swb_5,swb_6,swb_duration,mindful_1,mindful_2,mindful_3,mindful_4,mindful_5,mindful_6,mindful_7,mindful_8,mindful_9,mindful_10,mindful_11,mindful_12,mindful_13,mindful_14,mindful_15,mindful_biascheck,mindful_bias_dummy,mindful_duration,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_now,belong_biascheck,belong_bias_dummy,belong_duration,efficacy_1,efficacy_2,efficacy_3,efficacy_4,efficacy_5,efficacy_6,efficacy_7,efficacy_8,efficacy_9,efficacy_10,efficacy_biascheck,efficacy_bias_dummy,efficacy_duration,support_1,support_2,support_3,support_4,support_5,support_6,support_7,support_8,support_9,support_10,support_11,support_12,support_biascheck,support_bias_dummy,support_duration,socmedia_1,socmedia_2,socmedia_3,socmedia_4,socmedia_5,socmedia_6,socmedia_7,socmedia_8,socmedia_9,socmedia_10,socmedia_11,socmedia_biascheck,socmedia_bias_dummy,socmedia_duration,usdream_1,usdream_2,usdream_duration,transgres_freq,transgres_common,transgres_1,transgres_2,transgres_3,transgres_4,transgres_duration,exploit_1,exploit_2,exploit_3,exploit_duration,disability11,disability14_1,disability14_2,disability14_3,disability14_4,disability14_5,disability10_1,disability10_2,disability10_3,disability10_4,disability10_5,disability10_6,disability10_7,disability10_8,disability10_9,disability10_10,disability10_11,disability10_12,disability10_13,disability10_14,disability10_15,disability_duration,physsx_1,physsx_2,physsx_3,physsx_4,physsx_5,physsx_6,physsx_7,physsx_8,physsx_9,physsx_10,physsx_11,physsx_12,physsx_13,physsx_biascheck,physsx_bias_dummy,phys_duration,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,stress_7,stress_8,stress_9,stress_10,stress_biascheck,stress_bias_dummy,stress_duration,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage4,demo_parents,marriage_duration,demo_sex,demo_age,demo_edu,demo_sibs1,demo_sibs2,demo_sibs3,demo_sibs4,demo_sibs5,demo_sibs6,demo_sibs7,demo_race,demo_mil,demo_mil_years,demo_income,demo_us,demo_us_years,demo_state,demo_duration,response_bias_sum
30.65,1,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,64,38,0,0,4.51,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,30,0,0.7,2.0,3.0,4.0,6.0,5.0,5.0,3.0,3.0,0.51,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,36,0,2.02,4.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,38,0,1.2,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,34,0,1.48,7.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,4.0,6.0,7.0,72,0,1.32,4.0,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,47,0,0.7,4.0,4.0,0.17,3.0,3.0,3.0,1.0,1.0,1.0,0.18,2.0,2.0,2.0,1.94,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,24,0,0.68,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,33,0,1.5,10.0,25.0,30.0,35.0,2.0,1.0,2.0,2.41,2.0,20,2.0,0,1,0,0,0,0,0,1,0.0,0,3.0,0.0,0,0.0,0.0,0
24.45,1,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,62,33,0,0,3.61,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,31,0,0.75,1.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,0.34,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,27,0,1.06,2.0,3.0,1.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,38,0,0.99,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,34,0,1.05,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,81,0,0.45,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,23,0,0.58,4.0,4.0,0.37,4.0,4.0,4.0,3.0,2.0,1.0,0.19,4.0,4.0,3.0,1.56,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,24,0,0.38,4.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,36,0,0.56,10.0,25.0,35.0,30.0,3.0,1.0,1.0,0.82,1.0,23-25,5.0,0,1,0,0,0,0,0,1,0.0,0,3.0,0.0,0,0.0,0.0,0
36.416666666666664,0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,61,33,0,0,2.11,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,30,0,0.47,2.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,0.26,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,4.0,33,0,1.58,4.0,4.0,2.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,38,0,1.09,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,22,0,2.35,6.0,6.0,5.0,2.0,7.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,62,0,0.93,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,34,0,0.61,2.0,2.0,0.18,6.0,5.0,3.0,1.0,4.0,1.0,0.34,5.0,5.0,3.0,1.66,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,1.85,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,27,0,0.71,4.0,4.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,4.0,33,0,0.79,1.0,1.0,59.0,39.0,2.0,1.0,1.0,1.99,1.0,23-25,2.0,0,0,0,0,1,0,0,1,0.0,0,1.0,0.0,0,0.0,0.0,0
48.4,1,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,46,32,0,0,4.63,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,30,0,2.42,8.0,8.0,5.0,6.0,6.0,5.0,6.0,3.0,0.69,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,33,0,2.42,3.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,40,0,1.34,4.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,28,0,2.55,6.0,6.0,7.0,3.0,7.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,67,0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,35,0,0.82,1.0,3.0,0.2,3.0,2.0,4.0,2.0,1.0,1.0,0.44,2.0,1.0,2.0,2.88,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,25,0,0.49,2.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,32,0,2.29,0.0,0.0,60.0,40.0,1.0,1.0,1.0,1.35,2.0,22,2.0,0,0,1,0,1,0,1,6,0.0,0,1.0,0.0,0,0.0,0.0,0
19.333333333333332,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,71,40,0,0,2.69,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,27,0,0.37,8.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,51,0,0.96,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,39,0,0.84,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,30,1,0.38,7.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,72,0,0.79,3.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,37,0,0.47,5.0,4.0,0.11,2.0,2.0,1.0,1.0,1.0,1.0,0.13,6.0,2.0,2.0,1.38,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.39,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,23,0,0.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,29,0,0.3,30.0,40.0,10.0,20.0,4.0,2.0,1.0,1.58,2.0,21,2.0,0,1,1,1,1,0,0,"1,3",0.0,0,7.0,1.0,18-25,4.0,0.11,1
35.56666666666667,1,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,59,48,0,0,2.63,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,27,0,0.85,4.0,8.0,5.0,4.0,6.0,4.0,6.0,4.0,1.13,5.0,6.0,4.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,4.0,6.0,3.0,6.0,6.0,73,0,2.19,4.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,30,0,1.2,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,37,0,0.8,6.0,6.0,2.0,1.0,4.0,6.0,7.0,2.0,7.0,6.0,2.0,4.0,53,0,1.23,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,29,0,0.79,2.0,3.0,0.32,2.0,2.0,5.0,2.0,1.0,4.0,0.3,1.0,1.0,1.0,1.55,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,27,0,0.69,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,32,0,0.97,20.0,25.0,35.0,20.0,2.0,2.0,4.0,2.69,2.0,19,2.0,0,1,0,0,0,1,0,"1,6",0.0,0,1.0,0.0,0,0.0,0.0,0
35.18333333333333,0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,56,34,0,0,4.55,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,29,0,0.66,3.0,8.0,6.0,6.0,5.0,4.0,4.0,3.0,0.39,5.0,6.0,3.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,1.0,6.0,4.0,6.0,5.0,69,0,1.87,1.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,47,0,1.11,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,33,0,0.87,7.0,7.0,7.0,6.0,2.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,72,0,0.98,5.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,35,0,0.86,1.0,2.0,0.49,2.0,4.0,1.0,1.0,1.0,2.0,0.23,1.0,1.0,1.0,1.78,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,2.21,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,25,0,0.64,3.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,35,0,0.77,10.0,20.0,20.0,50.0,2.0,1.0,1.0,1.67,2.0,21,2.0,0,0,1,0,1,0,1,1,0.0,0,3.0,0.0,0,0.0,0.0,0
29.833333333333332,1,4.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,48,29,0,0,2.58,3.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,22,0,0.71,1.0,4.0,7.0,7.0,6.0,7.0,5.0,3.0,0.37,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,24,0,1.43,5.0,1.0,5.0,4.0,3.0,1.0,5.0,2.0,2.0,4.0,1.0,33,0,1.18,4.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,31,0,0.94,1.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,6.0,5.0,32,0,1.39,4.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,5.0,5.0,37,0,0.59,5.0,4.0,0.77,5.0,6.0,1.0,1.0,1.0,1.0,0.13,7.0,7.0,7.0,1.24,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,4.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,3.09,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,22,0,0.35,4.0,5.0,5.0,4.0,3.0,5.0,1.0,2.0,5.0,4.0,38,0,0.79,0.0,0.0,70.0,30.0,1.0,1.0,2.0,1.8,2.0,22,2.0,0,1,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0.0,0.0,0
26.666666666666668,1,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,62,36,0,0,3.45,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,24,0,0.48,8.0,8.0,4.0,5.0,5.0,4.0,5.0,5.0,0.35,4.0,4.0,4.0,6.0,5.0,1.0,5.0,5.0,4.0,6.0,5.0,6.0,2.0,5.0,5.0,67,0,1.44,3.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,29,0,0.94,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,24,0,0.82,5.0,5.0,7.0,6.0,5.0,6.0,7.0,5.0,7.0,6.0,6.0,7.0,72,0,0.79,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,40,0,0.57,1.0,1.0,0.36,2.0,2.0,3.0,1.0,1.0,1.0,0.18,4.0,4.0,4.0,1.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16,0,0.46,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,29,0,0.62,2.0,28.0,40.0,30.0,2.0,1.0,2.0,2.53,1.0,23-25,4.0,0,1,1,0,1,0,0,1,0.0,0,1.0,0.0,0,0.0,0.01,0
50.766666666666666,1,4.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,67,33,0,0,2.82,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32,1,0.67,2.0,4.0,3.0,3.0,3.0,4.0,1.0,7.0,0.5,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,6.0,4.0,3.0,3.0,63,0,2.74,3.0,2.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,39,0,1.29,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,36,0,1.07,2.0,3.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,3.0,47,0,1.12,5.0,2.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,39,0,0.84,2.0,3.0,0.54,3.0,4.0,6.0,4.0,1.0,1.0,1.56,2.0,2.0,1.0,5.4,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,18,0,0.38,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,32,0,2.34,13.0,60.0,13.0,13.0,2.0,3.0,1.0,2.53,1.0,19,2.0,1,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0.0,0.06,1
